25 20
#############
#...........#    ########
#...s...s...######......#
#..k.....s..............#
#...........######......#
#.....s.....#    #...g..#
#......h....#    #......#
#[..........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #...s..#
  #....s..#      #......#
  #...>...#      #......#
  #.......#      #......#
  #....s..#      #......#
  #########       ######
